fragment_ID,estimate,std.error
POC-175,35.780996490085826,0.029506474217612842
POC-85,35.87823722681804,0.03160922685225401
POC-169,35.603343247054525,0.06231345205707483
POC-156,36.07440161611536,0.06608549220800058
POC-174,35.260261885682354,0.08581023897009564
POC-164,35.63951732975559,0.0418595957952788
POC-154,35.621126063835725,0.16492166731279145
POC-150,35.887093552183906,0.06002128657375407
POC-165,35.62592613783851,0.06344863711194157
POC-99,36.0744176419722,0.05250000666767978
POC-178,35.73763417169657,0.033797643127888445
POC-86,36.18639965815038,0.04450734979191897
POC-100,35.47368422116965,0.037744263439866414
POC-162,35.49437343266826,0.048106245342335166
POC-84,35.57071470463995,0.044706354918796834
POC-83,35.667386493587124,0.0406144283292251
POC-87,35.23982193825704,0.09385879765520219
POC-151,36.12885666795728,0.05526357118118663
POC-167,36.28877638987254,0.06285394305804731
POC-179,35.637547763971064,0.05777404147418227
POC-183,35.25611325721453,0.05852218277085628
POC-168,35.352899834930504,0.09074944689498908
POC-181,35.36026075189716,0.17737361756980616
POC-157,36.11494672446102,0.06478630612425765
